file_name,links,data_path,audio_path
RFA_གོང་ས་མཆོག_1065,https://www.rfa.org/tibetan/dalai-lama/his-holiness-address-to-nata-07152015111038.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1066,https://www.rfa.org/tibetan/dalai-lama/hhdl-public-audience-in-la-07122015120844.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1067,https://www.rfa.org/tibetan/dalai-lama/his-holiness-the-dalai-lama-concludes-10-day-usa-visit-and-departs-for-germany-07112015111317.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1068,https://www.rfa.org/tibetan/dalai-lama/his-holiness-the-dalai-lama-teaching-in-new-york-2015-07102015112356.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1069,https://www.rfa.org/tibetan/dalai-lama/his-holiness-the-dalai-lama-commits-to-work-for-humanity-until-last-breath-07072015100058.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_107,https://www.rfa.org/tibetan/sargyur/dalai-lama-speech-09262023152037.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1070,https://www.rfa.org/tibetan/dalai-lama/his-holiness-the-dalai-lama-07062015135852.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1071,https://www.rfa.org/tibetan/dalai-lama/his-holiness-the-dalai-lama-meets-george-w-bush-07042015151424.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1072,https://www.rfa.org/tibetan/dalai-lama/dalai-lama-london-07032015123306.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1073,https://www.rfa.org/tibetan/dalai-lama/1st-gelug-conference-06282015105244.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1074,https://www.rfa.org/tibetan/dalai-lama/his-holiness-the-dalai-lama-says-religious-harmony-is-important-06262015141021.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1075,https://www.rfa.org/tibetan/dalai-lama/his-holiness-the-dalai-lama-departs-dharamsala-for-england-and-usa-06262015093516.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1076,https://www.rfa.org/tibetan/dalai-lama/aborigins-need-help-06252015141554.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1077,https://www.rfa.org/tibetan/dalai-lama/documentary-film-about-life-of-himachal-pardesh-chief-minister-06252015112746.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1078,https://www.rfa.org/tibetan/dalai-lama/chinese-interaction-with-his-holiness-06242015094457.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1079,https://www.rfa.org/tibetan/dalai-lama/hhdl-public-address-on-gyaton-celebration-06232015142514.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_108,https://www.rfa.org/tibetan/sargyur/bharat-tibbat-sangh-09252023141303.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1080,https://www.rfa.org/tibetan/dalai-lama/his-holiness-80th-birthday-06232015110014.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1081,https://www.rfa.org/tibetan/dalai-lama/his-holiness-concludes-australia-visit-06172015093040.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1082,https://www.rfa.org/tibetan/dalai-lama/providing-moral-advice-06152015121349.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1083,https://www.rfa.org/tibetan/dalai-lama/special-audience-for-tibetans-in-australia-06152015112148.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1084,https://www.rfa.org/tibetan/dalai-lama/his-holiness-the-dalai-lama-meets-with-uluru-traditional-owners-australia-06132015111633.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1085,https://www.rfa.org/tibetan/dalai-lama/hhdl-events-in-australia-2015-06112015140828.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1086,https://www.rfa.org/tibetan/dalai-lama/happiness-and-source-of-happiness-06102015135547.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1087,https://www.rfa.org/tibetan/dalai-lama/his-holiness-concludes-blue-mountain-visit-06092015111627.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1088,https://www.rfa.org/tibetan/dalai-lama/be-compassionate-for-all-06082015092851.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1089,https://www.rfa.org/tibetan/dalai-lama/hhdl-addressed-devotees-in-australia-06072015132852.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_109,https://www.rfa.org/tibetan/sargyur/dalai-lama-to-inaugurate-khamgar-druk-dharmakara-college-at-tashi-jong-tibetan-settlement-09232023110318.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1090,https://www.rfa.org/tibetan/dalai-lama/tcv-offered-tenshuk-06072015110247.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1091,https://www.rfa.org/tibetan/dalai-lama/hh-the-dalai-lama-second-day-in-australia-06052015092129.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1092,https://www.rfa.org/tibetan/dalai-lama/his-holiness-the-dalai-lama-concluded-teaching-in-upper-tcv-2015-06022015114356.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1093,https://www.rfa.org/tibetan/dalai-lama/hhdl-teaching-for-tcv-studends-05312015095957.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1094,https://www.rfa.org/tibetan/dalai-lama/dzongkar-choede-offers-long-life-prayer-to-his-holiness-the-dalai-lama-05302015120221.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1095,https://www.rfa.org/tibetan/dalai-lama/his-holiness-the-dalai-lama-concluded-three-day-teaching-at-uppter-tcv-05292015094523.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1096,https://www.rfa.org/tibetan/dalai-lama/introduction-to-tibetan-buddhism-05272015121543.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1097,https://www.rfa.org/tibetan/dalai-lama/practicing-buddhist-philosophy-05262015131716.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1098,https://www.rfa.org/tibetan/dalai-lama/his-holiness-presides-over-special-prayer-05202015121857.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1099,https://www.rfa.org/tibetan/dalai-lama/hhdl-gives-guidance-to-middle-way-meeting-attends-05182015151218.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_11,https://www.rfa.org/tibetan/dalai-lama/dalai-lama-us-surgery-07122024120700.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_110,https://www.rfa.org/tibetan/sargyur/dalai-lama-sikkim-09212023154827.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1100,https://www.rfa.org/tibetan/dalai-lama/four-days-teaching-concludes-05132015110948.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1101,https://www.rfa.org/tibetan/dalai-lama/his-holiness-the-dalai-lama-bestows-buddhist-empowerment-at-gyuto-tantric-college-05122015115320.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1102,https://www.rfa.org/tibetan/dalai-lama/hhdl-gives-guhyasamaja-initiation-05112015105443.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1103,https://www.rfa.org/tibetan/dalai-lama/his-holiness-the-dalai-lama-inaugurates-mobile-app-in-shri-balaji-hospital-05092015103627.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1104,https://www.rfa.org/tibetan/dalai-lama/his-holiness-the-dalai-lama-and-tutu-at-upper-tcv-04252015141110.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1105,https://www.rfa.org/tibetan/dalai-lama/80th-birthday-celebration-of-his-holiness-the-dalai-lama-04242015153601.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
RFA_གོང་ས་མཆོག_1106,https://www.rfa.org/tibetan/dalai-lama/his-holiness-audiance-to-tibetans-and-chinese-04202015092533.html,./data/གོང་ས་མཆོག/,./data/audio/གོང་ས་མཆོག/
